Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,CharacterStatus,norm_time,time_rounded,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time
1715588067323,512.8475,Cow_Girl,-6.000121,-1.0,0.09987079,Idle,,,-6.051846,-0.08533043,0.3392104,-5.956711,-0.08145183,-0.112544,2.306,-1.115,0.676,,0.0,0.0,,,0.0039885084751139,0.0072791240594178,0.0016005958212365,0.0128682283557683,0.5479379720082561,0.3099500851899354,0.5656663728814639,-4.922744745521289,0.0
1715588067406,512.9305,Cow_Girl,-5.917234,-1.001244,0.09987279,Idle,,,-5.95108,-0.0819419,0.351162,-5.870731,-0.07447189,-0.124392,2.372,-1.018,0.66,,0.083,0.1,,,0.0039885084751139,0.0072791240594178,0.0016005958212365,0.0128682283557683,0.5479379720082561,0.3099500851899354,0.5656663728814639,-4.922744745521289,0.1
1715588067489,513.0146,Cow_Girl,-5.833129,-1.002506,0.09987482,Idle,,,-5.909376,-0.0848127,0.3524425,-5.71517,-0.03852671,-0.1525072,2.401,-0.967,0.753,,0.166,0.2,,,0.0039885084751139,0.0072791240594178,0.0016005958212365,0.0128682283557683,0.5479379720082561,0.3099500851899354,0.5656663728814639,-4.922744745521289,0.2
1715588067573,513.0982,Cow_Girl,-5.749513,-1.003761,0.09987683,Idle,,,-5.907761,-0.1061515,0.329931,-5.529051,0.01318109,-0.1736962,2.357,-0.948,0.827,,0.25,0.2,,,0.0039885084751139,0.0072791240594178,0.0016005958212365,0.0128682283557683,0.5479379720082561,0.3099500851899354,0.5656663728814639,-4.922744745521289,0.2
1715588067657,513.1833,Cow_Girl,-5.664458,-1.005038,0.09987886,Idle,,,-5.82183,-0.1316196,0.3240824,-5.41525,0.02252495,-0.1592187,2.287,-0.948,0.827,,0.334,0.3,,,0.0039885084751139,0.0072791240594178,0.0016005958212365,0.0128682283557683,0.5479379720082561,0.3099500851899354,0.5656663728814639,-4.922744745521289,0.3
1715588067740,513.2652,Cow_Girl,-5.582526,-1.006268,0.09988082,Idle,,,-5.678796,-0.1272866,0.3621095,-5.397995,0.001708388,-0.1341819,2.236,-0.886,0.738,,0.417,0.4,,,0.0039885084751139,0.0072791240594178,0.0016005958212365,0.0128682283557683,0.5479379720082561,0.3099500851899354,0.5656663728814639,-4.922744745521289,0.4
1715588067823,513.347,Cow_Girl,-5.500724,-1.007496,0.09988276,Idle,,,-5.530185,-0.1046007,0.4270686,-5.430871,-0.03862208,-0.08891352,2.351,-0.757,0.644,,0.5,0.5,,,0.0039885084751139,0.0072791240594178,0.0016005958212365,0.0128682283557683,0.5479379720082561,0.3099500851899354,0.5656663728814639,-4.922744745521289,0.5
1715588067907,513.4299,Cow_Girl,-5.417831,-1.00874,0.09988479,Idle,,,-5.364095,-0.05289078,0.4606285,-5.459708,-0.06776643,-0.06247037,2.328,-0.692,0.486,,0.584,0.6,,,0.0039885084751139,0.0072791240594178,0.0016005958212365,0.0128682283557683,0.5479379720082561,0.3099500851899354,0.5656663728814639,-4.922744745521289,0.6
1715588067990,513.5162,Cow_Girl,-5.33151,-1.010035,0.09988687,Idle,,,-5.189375,0.01106691,0.4558696,-5.473843,-0.0768804,-0.05184814,2.265,-0.409,0.278,,0.667,0.7,,,0.0035949245226424,0.0067618880028835,0.0012852418717307,0.0116420543972568,0.5459013611431114,0.3087878135571623,0.5808157024654408,-4.996453137554163,0.7
1715588068074,513.6002,Cow_Girl,-5.24759,-1.011295,0.0998889,Idle,,,-5.032706,0.04672909,0.4573035,-5.46212,-0.08752286,-0.02551632,2.19,-0.133,0.049,,0.751,0.8,,,0.0035949245226424,0.0067618880028835,0.0012852418717307,0.0116420543972568,0.5443173304702211,0.3087878135571623,0.5808157024654408,-4.996453137554163,0.8
1715588068157,513.6829,Cow_Girl,-5.164867,-1.012536,0.09989087,Idle,,,-4.916273,0.04573989,0.4722931,-5.396533,-0.1016337,-0.005811594,2.192,-0.099,0.128,,0.834,0.8,,,0.0035949245226424,0.0067618880028835,0.0012852418717307,0.0116420543972568,0.5443173304702211,0.3087878135571623,0.5808157024654408,-4.996453137554163,0.8
1715588068241,513.767,Cow_Girl,-5.0808,-1.013798,0.09989295,Idle,,,-4.850369,0.02093208,0.4599195,-5.274682,-0.09736508,-0.04464801,2.201,-0.336,0.31,,0.918,0.9,,,0.0039929223596521,0.0067414880540216,0.0012934144904447,0.0120278249041186,0.5491146923597416,0.3319737684479346,0.5604910370546908,-4.999474598897697,0.9
1715588068325,513.8478,Cow_Girl,-4.999937,-1.015012,0.09989492,Idle,,,-4.828155,-0.0235939,0.4168083,-5.105148,-0.09291518,-0.1159383,2.223,-0.459,0.461,,1.002,1.0,,,0.0039929223596521,0.0067414880540216,0.0012934144904447,0.0120278249041186,0.5530398066329855,0.3319737684479346,0.5604910370546908,-4.999474598897697,1.0
1715588068408,513.933,Cow_Girl,-4.914762,-1.01629,0.09989689,Idle,,,-4.855732,-0.05822837,0.3853895,-4.909886,-0.05975556,-0.1668465,2.278,-0.421,0.525,,1.085,1.1,,,0.0039929223596521,0.0067414880540216,0.0012934144904447,0.0120278249041186,0.5563107351940222,0.3319737684479346,0.5604910370546908,-4.999474598897697,1.1
1715588068492,514.0175,Cow_Girl,-4.830351,-1.017557,0.09989891,Idle,,,-4.891367,-0.08673334,0.3631106,-4.702017,-0.008630037,-0.1802527,2.419,-0.419,0.648,,1.169,1.2,,,0.0039929223596521,0.0067414880540216,0.0012934144904447,0.0120278249041186,0.5590784439764378,0.3319737684479346,0.5604910370546908,-4.999474598897697,1.2
1715588068576,514.1008,Cow_Girl,-4.747072,-1.018807,0.09990094,Idle,,,-4.90156,-0.1137729,0.3358074,-4.525907,0.01615942,-0.1791456,2.533,-0.528,0.811,,1.253,1.3,,,0.0039929223596521,0.0067414880540216,0.0012934144904447,0.0120278249041186,0.5614507657899369,0.3319737684479346,0.5604910370546908,-4.999474598897697,1.3
1715588068658,514.1847,Cow_Girl,-4.663116,-1.020067,0.09990285,Idle,,,-4.832152,-0.1390365,0.3201999,-4.40909,0.01298106,-0.1683204,2.681,-0.618,0.912,,1.335,1.3,,,0.0039929223596521,0.0067414880540216,0.0012934144904447,0.0120278249041186,0.5614507657899369,0.3319737684479346,0.5604910370546908,-4.999474598897697,1.3
1715588068740,514.2677,Cow_Girl,-4.580112,-1.021313,0.09990475,Idle,,,-4.699217,-0.148142,0.3412205,-4.365278,-0.004734755,-0.1468457,2.734,-0.617,0.878,,1.417,1.4,,,0.0039929223596521,0.0067414880540216,0.0012934144904447,0.0120278249041186,0.5635067780283028,0.3319737684479346,0.5604910370546908,-4.999474598897697,1.4
1715588068825,514.3486,Cow_Girl,-4.499267,-1.022526,0.09990654,Idle,,,-4.556324,-0.1309718,0.408141,-4.383821,-0.03859007,-0.1031015,2.758,-0.605,0.877,,1.502,1.5,,,0.0038057184627639,0.0063654486369133,0.0010322945356527,0.01120346163533,0.5656545548696288,0.3396913013708724,0.5681680220013402,-5.056870564474253,1.5
1715588068907,514.4345,Cow_Girl,-4.413345,-1.023816,0.09990857,Idle,,,-4.391174,-0.09159291,0.4540819,-4.414752,-0.0764057,-0.07009508,2.754,-0.641,0.924,,1.584,1.6,,,0.0038057184627639,0.0063654486369133,0.0010322945356527,0.01120346163533,0.5675496520825635,0.3396913013708724,0.5681680220013402,-5.056870564474253,1.6
1715588068992,514.5187,Cow_Girl,-4.329199,-1.025079,0.09991059,Idle,,,-4.21953,-0.02661848,0.4566265,-4.436047,-0.08932745,-0.0579057,2.78,-0.805,0.976,,1.669,1.7,,,0.0023144687522944,0.0059424683491122,0.001115826861604,0.0093727639630107,0.5576568579177548,0.2469355636638697,0.6340145097608351,-5.125630684934722,1.7
1715588069077,514.6013,Cow_Girl,-4.246523,-1.02632,0.09991274,Idle,,,-4.054689,0.0216006,0.4521757,-4.439287,-0.1008961,-0.03821745,2.827,-1.014,0.96,,1.754,1.8,,,0.0023144687522944,0.0059424683491122,0.001115826861604,0.0093727639630107,0.5488054105071364,0.2469355636638697,0.6340145097608351,-5.125630684934722,1.8
1715588069160,514.6852,Cow_Girl,-4.16267,-1.027578,0.09991477,Idle,,,-3.921148,0.03545415,0.4645067,-4.393723,-0.1101491,-0.01131847,2.844,-1.024,0.914,,1.837,1.8,,,0.0023144687522944,0.0059424683491122,0.001115826861604,0.0093727639630107,0.5488054105071364,0.2469355636638697,0.6340145097608351,-5.125630684934722,1.8
1715588069244,514.7678,Cow_Girl,-4.080061,-1.028818,0.09991667,Idle,,,-3.83974,0.01380289,0.4728576,-4.293176,-0.1178044,-0.02018192,2.889,-1.063,0.844,,1.921,1.9,,,0.0023144687522944,0.0059424683491122,0.001115826861604,0.0093727639630107,0.5408391078375798,0.2469355636638697,0.6340145097608351,-5.125630684934722,1.9
1715588069327,514.8511,Cow_Girl,-3.996804,-1.030067,0.0999187,Idle,,,-3.798507,-0.0199585,0.4318481,-4.138921,-0.1081533,-0.09103539,2.874,-1.066,0.816,,2.004,2.0,,,0.0023144687522944,0.0059424683491122,0.001115826861604,0.0093727639630107,0.533631500660362,0.2469355636638697,0.6340145097608351,-5.125630684934722,2.0
1715588069410,514.9372,Cow_Girl,-3.910685,-1.03136,0.09992061,Idle,,,-3.802946,-0.06254447,0.3908637,-3.9517,-0.09622699,-0.1576215,2.827,-1.075,0.83,,2.087,2.1,,,0.0023144687522944,0.0059424683491122,0.001115826861604,0.0093727639630107,0.5270791304992549,0.2469355636638697,0.6340145097608351,-5.125630684934722,2.1
1715588069494,515.0191,Cow_Girl,-3.828796,-1.032589,0.09992252,Idle,,,-3.845646,-0.09098351,0.3744079,-3.74603,-0.04062068,-0.1758071,2.894,-1.155,0.908,,2.171,2.2,,,0.0023144687522944,0.0059424683491122,0.001115826861604,0.0093727639630107,0.5210965316565049,0.2469355636638697,0.6340145097608351,-5.125630684934722,2.2
