Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,CharacterStatus,norm_time,time_rounded,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time
1716545079706,267.863,Cow_Girl,-6.000126,-1.0,0.09987126,Idle,,,-6.051881,-0.08533251,0.3392347,-5.956734,-0.08144158,-0.112553,-5.651,3.904,2.32,,0.0,0.0,,,0.0143273237560637,0.0023526690770307,0.0002689967634158,0.0169489895965103,6.089816836520791,0.8453202283523501,0.1388088100257699,-6.0522048178734265,0.0
1716545079790,267.9467,Cow_Girl,-5.916441,-1.001256,0.09987328,Idle,,,-5.95028,-0.08206367,0.3509233,-5.87049,-0.07490176,-0.1240366,-5.679,3.004,2.437,,0.084,0.1,,,0.0143273237560637,0.0023526690770307,0.0002689967634158,0.0169489895965103,6.089816836520791,0.8453202283523501,0.1388088100257699,-6.0522048178734265,0.1
1716545079873,268.0273,Cow_Girl,-5.835872,-1.002465,0.09987523,Idle,,,-5.912458,-0.0848273,0.3523933,-5.717485,-0.03827584,-0.1526512,-5.599,1.978,2.633,,0.167,0.2,,,0.0143273237560637,0.0023526690770307,0.0002689967634158,0.0169489895965103,6.089816836520791,0.8453202283523501,0.1388088100257699,-6.0522048178734265,0.2
1716545079957,268.1115,Cow_Girl,-5.751683,-1.003729,0.09987726,Idle,,,-5.911204,-0.1066198,0.3293143,-5.529484,0.01421118,-0.1739294,-5.409,1.022,2.903,,0.251,0.3,,,0.0143273237560637,0.0023526690770307,0.0002689967634158,0.0169489895965103,6.089816836520791,0.8453202283523501,0.1388088100257699,-6.0522048178734265,0.3
1716545080040,268.1961,Cow_Girl,-5.666981,-1.005,0.09987927,Idle,,,-5.823683,-0.1317228,0.3242501,-5.418282,0.02234507,-0.1590641,-5.314,0.481,3.015,,0.334,0.3,,,0.0143273237560637,0.0023526690770307,0.0002689967634158,0.0169489895965103,6.089816836520791,0.8453202283523501,0.1388088100257699,-6.0522048178734265,0.3
1716545080124,268.2802,Cow_Girl,-5.582919,-1.006262,0.09988124,Idle,,,-5.677338,-0.1265988,0.3644139,-5.401213,0.0009323359,-0.1328555,-5.314,0.391,2.976,,0.418,0.4,,,0.0119956736944763,0.0021440738203062,0.0001507303551984,0.014290477869981,5.9908143539461305,0.8394172541755756,0.1500351380698172,-6.145047605253316,0.4
1716545080207,268.3638,Cow_Girl,-5.499391,-1.007516,0.09988324,Idle,,,-5.52961,-0.1049756,0.4266445,-5.42851,-0.03826863,-0.0891461,-5.383,0.584,2.885,,0.501,0.5,,,0.0119956736944763,0.0021440738203062,0.0001507303551984,0.014290477869981,5.924812698896357,0.8394172541755756,0.1500351380698172,-6.145047605253316,0.5
1716545080291,268.4484,Cow_Girl,-5.414721,-1.008787,0.09988526,Idle,,,-5.36234,-0.0541153,0.4603792,-5.454808,-0.06764835,-0.06268259,-5.487,0.802,2.776,,0.585,0.6,,,0.0119956736944763,0.0021440738203062,0.0001507303551984,0.014290477869981,5.87766865957509,0.8394172541755756,0.1500351380698172,-6.145047605253316,0.6
1716545080375,268.5291,Cow_Girl,-5.334017,-1.009998,0.09988723,Idle,,,-5.191419,0.01134896,0.4558328,-5.476789,-0.07693148,-0.05173495,-5.514,0.936,2.702,,0.669,0.7,,,0.0119956736944763,0.0021440738203062,0.0001507303551984,0.014290477869981,5.842310630084141,0.8394172541755756,0.1500351380698172,-6.145047605253316,0.7
1716545080458,268.6144,Cow_Girl,-5.248722,-1.011278,0.09988932,Idle,,,-5.032656,0.0472306,0.4577039,-5.464288,-0.08755082,-0.02471083,-5.468,1.014,2.566,,0.752,0.8,,,0.0118874983530591,0.0021828459094746,0.0001879503919256,0.0142582946544594,5.79826183916378,0.833725115179968,0.1530930565242558,-6.127125790495395,0.8
